IncidentNumber,DateOfCall,CalYear,TimeOfCall,HourOfCall,IncidentGroup,StopCodeDescription,SpecialServiceType,PropertyCategory,PropertyType,AddressQualifier,Postcode_full,Postcode_district,UPRN,USRN,IncGeo_BoroughCode,IncGeo_BoroughName,ProperCase,IncGeo_WardCode,IncGeo_WardName,IncGeo_WardNameNew,Easting_m,Northing_m,Easting_rounded,Northing_rounded,Latitude,Longitude,FRS,IncidentStationGround,FirstPumpArriving_AttendanceTime,FirstPumpArriving_DeployedFromStation,SecondPumpArriving_AttendanceTime,SecondPumpArriving_DeployedFromStation,NumStationsWithPumpsAttending,NumPumpsAttending,PumpCount,PumpHoursRoundUp,Notional Cost (£),NumCalls,DateTime
000019-01012019,01-Jan-19,2019,00:04:33,0,Fire,Secondary Fire,,Outdoor,Tree scrub ,On land associated with building,N9 7HU,N9,207088775,20704497,E09000010,ENFIELD,Enfield,E05000204,LOWER EDMONTON,LOWER EDMONTON,534494,194099,534450,194050,51.62964095,-0.058219401,London,Edmonton,357,Edmonton,,,1,1,1,1,333,1,01-01-2019 00:04
000060-01012019,01-Jan-19,2019,00:11:22,0,Fire,Secondary Fire,,Outdoor,Loose refuse ,In street close to gazetteer location,SW2 4JR,SW2,1.00022E+11,21901216,E09000022,LAMBETH,Lambeth,E05000417,BRIXTON HILL,BRIXTON HILL,530226,173941,530250,173950,51.44949342,-0.127291125,London,Clapham,335,Clapham,,,1,1,1,1,333,1,01-01-2019 00:11
000061-01012019,01-Jan-19,2019,00:11:32,0,Fire,Primary Fire,,Non Residential,Private Garden Shed ,Correct incident location,,HA3,0,21201601,E09000015,HARROW,Harrow,E05000295,KENTON WEST,KENTON WEST,,,516650,189150,,,London,Stanmore,369,Stanmore,486,Harrow,2,2,4,4,1332,5,01-01-2019 00:11
000065-01012019,01-Jan-19,2019,00:13:18,0,Fire,Primary Fire,,Outdoor Structure,Outdoor storage ,On land associated with building,RM10 8NA,RM10,100013379,19900167,E09000002,BARKING AND DAGENHAM,Barking And dagenham,E05000027,ALIBON,ALIBON,549290,185040,549250,185050,51.54451765,0.15155162,London,Dagenham,307,Dagenham,379,Barking,2,2,2,2,666,6,01-01-2019 00:13
000067-01012019,01-Jan-19,2019,00:13:53,0,Fire,Secondary Fire,,Outdoor Structure,Small refuse/rubbish container,In street close to gazetteer location,HA1 4JJ,HA1,10010598211,21201353,E09000015,HARROW,Harrow,E05000293,HEADSTONE SOUTH,HEADSTONE SOUTH,514369,188319,514350,188350,51.58214312,-0.350726514,London,Harrow,608,Northolt,,,1,1,1,1,333,3,01-01-2019 00:13
000074-01012019,01-Jan-19,2019,00:15:23,0,Fire,Secondary Fire,,Outdoor,Loose refuse ,In street outside gazetteer location,TW8 9PS,TW8,1.00022E+11,21500275,E09000018,HOUNSLOW,Hounslow,E05000347,BRENTFORD,BRENTFORD,517751,178330,517750,178350,51.49166883,-0.305278903,London,Ealing,362,Chiswick,,,1,1,1,1,333,1,01-01-2019 00:15
000082-01012019,01-Jan-19,2019,00:17:10,0,Fire,Primary Fire,,Road Vehicle,Car ,In street outside gazetteer location,E14 7AL,E14,6131657,22701288,E09000030,TOWER HAMLETS,Tower Hamlets,E05009327,MILE END,MILE END,536960,181527,536950,181550,51.5160759,-0.027515566,London,Poplar,215,Bethnal Green,,,1,1,1,1,333,14,01-01-2019 00:17
000104-01012019,01-Jan-19,2019,00:22:43,0,Fire,Secondary Fire,,Outdoor,Loose refuse ,On land associated with building,DA17 5LL,DA17,1.0002E+11,20100028,E09000004,BEXLEY,Bexley,E05011218,BELVEDERE,BELVEDERE,548925,178005,548950,178050,51.481405,0.143319612,London,Erith,225,Erith,,,1,1,1,1,333,1,01-01-2019 00:22
000107-01012019,01-Jan-19,2019,00:23:05,0,Fire,Secondary Fire,,Outdoor Structure,Common external bin storage area,In street outside gazetteer location,N22 8PU,N22,1.00021E+11,21104845,E09000014,HARINGEY,Haringey,E05000267,BOUNDS GREEN,BOUNDS GREEN,530607,191051,530650,191050,51.60316967,-0.115474551,London,Hornsey,468,Hornsey,,,1,1,1,1,333,1,01-01-2019 00:23
000114-01012019,01-Jan-19,2019,00:29:28,0,Fire,Secondary Fire,,Outdoor Structure,Fence,Correct incident location,SW13 0AH,SW13,1.00022E+11,22404274,E09000027,RICHMOND UPON THAMES,Richmond Upon thames,E05000525,MORTLAKE AND BARNES COMMON,MORTLAKE AND BARNES COMMON,521641,176092,521650,176050,51.470728,-0.2500497,London,Richmond,467,Hammersmith,,,1,1,1,1,333,3,01-01-2019 00:29
000115-01012019,01-Jan-19,2019,00:29:42,0,Fire,Secondary Fire,,Outdoor,Loose refuse ,On land associated with building,SW9 7JT,SW9,1.00024E+11,21901270,E09000022,LAMBETH,Lambeth,E05000420,COLDHARBOUR,COLDHARBOUR,531469,175760,531450,175750,51.46554993,-0.108750856,London,Brixton,,,,,1,1,1,1,333,1,01-01-2019 00:29
000121-01012019,01-Jan-19,2019,00:34:01,0,Fire,Secondary Fire,,Outdoor,Other outdoor location ,On land associated with building,SE28 0JP,SE28,10010230344,20802008,E09000011,GREENWICH,Greenwich,E05000228,THAMESMEAD MOORINGS,THAMESMEAD MOORINGS,545211,179804,545250,179850,51.49853128,0.090618461,London,Plumstead,288,Plumstead,311,Plumstead,1,2,2,1,333,1,01-01-2019 00:34
000123-01012019,01-Jan-19,2019,00:35:27,0,Fire,Secondary Fire,,Outdoor,Tree scrub ,On land associated with building,KT1 3RU,KT1,128044326,21800329,E09000021,KINGSTON UPON THAMES,Kingston Upon thames,E05000407,COOMBE VALE,COOMBE VALE,520143,169081,520150,169050,51.40803744,-0.273978545,London,New Malden,415,Kingston,503,Twickenham,2,2,2,1,333,2,01-01-2019 00:35
000124-01012019,01-Jan-19,2019,00:35:45,0,Fire,Secondary Fire,,Outdoor Structure,Small refuse/rubbish container,On land associated with building,UB6 9RG,UB6,12046044,20600594,E09000009,EALING,Ealing,E05000177,GREENFORD BROADWAY,GREENFORD BROADWAY,513709,183019,513750,183050,51.53463773,-0.361965679,London,Southall,380,Southall,,,1,1,1,1,333,1,01-01-2019 00:35
000127-01012019,01-Jan-19,2019,00:37:05,0,Fire,Secondary Fire,,Outdoor Structure,Large refuse/rubbish container (eg skip/ paladin),On land associated with building,IG11 7LD,IG11,100072089,19903731,E09000002,BARKING AND DAGENHAM,Barking And dagenham,E05000032,GASCOIGNE,GASCOIGNE,544155,183652,544150,183650,51.53338328,0.076979711,London,Barking,199,East Ham,,,1,2,2,1,333,1,01-01-2019 00:37
000132-01012019,01-Jan-19,2019,00:39:21,0,Fire,Secondary Fire,,Outdoor Structure,Small refuse/rubbish container,In street outside gazetteer location,TW10 6NW,TW10,10024346550,22407188,E09000027,RICHMOND UPON THAMES,Richmond Upon thames,E05000528,SOUTH RICHMOND,SOUTH RICHMOND,518532,174468,518550,174450,51.45679152,-0.295326143,London,Richmond,282,Richmond,,,1,1,1,1,333,1,01-01-2019 00:39
000133-01012019,01-Jan-19,2019,00:39:46,0,Fire,Secondary Fire,,Outdoor Structure,Wheelie bin (domestic size),Correct incident location,N15 5JE,N15,1.00021E+11,21106472,E09000014,HARINGEY,Haringey,E05000277,ST. ANN'S,ST. ANN'S,532688,189060,532650,189050,51.5847856,-0.0862097,London,Tottenham,332,Tottenham,,,1,1,1,1,333,1,01-01-2019 00:39
000134-01012019,01-Jan-19,2019,00:41:15,0,Fire,Secondary Fire,,Outdoor Structure,Refuse/rubbish tip ,In street close to gazetteer location,E13 8AN,E13,10012836040,22200809,E09000025,NEWHAM,Newham,E05000477,CANNING TOWN NORTH,CANNING TOWN NORTH,540507,182608,540550,182650,51.52492038,0.024002362,London,Plaistow,483,Leytonstone,,,1,1,1,1,333,2,01-01-2019 00:41
000138-01012019,01-Jan-19,2019,00:44:36,0,Fire,Secondary Fire,,Outdoor,Loose refuse ,On land associated with building,E12 5DF,E12,46026883,22200171,E09000025,NEWHAM,Newham,E05000488,MANOR PARK,MANOR PARK,541977,185793,541950,185750,51.55316706,0.046468377,London,Stratford,562,Leyton,,,1,1,1,1,333,2,01-01-2019 00:44
000144-01012019,01-Jan-19,2019,00:46:36,0,Fire,Secondary Fire,,Outdoor Structure,Small refuse/rubbish container,On land associated with building,KT9 1JE,KT9,128002703,21800181,E09000021,KINGSTON UPON THAMES,Kingston Upon thames,E05000404,CHESSINGTON NORTH AND HOOK,CHESSINGTON NORTH AND HOOK,518701,164458,518750,164450,51.36679667,-0.296241271,London,Surbiton,,,,,1,1,1,1,333,1,01-01-2019 00:46
000145-01012019,01-Jan-19,2019,00:46:41,0,Fire,Secondary Fire,,Outdoor Structure,Wheelie bin (domestic size),In street close to gazetteer location,IG11 0TN,IG11,10091587577,19910312,E09000002,BARKING AND DAGENHAM,Barking And dagenham,E05000039,THAMES,THAMES,546244,182283,546250,182250,51.52054033,0.106515329,London,Barking,396,Dagenham,,,2,2,2,1,333,1,01-01-2019 00:46
000151-01012019,01-Jan-19,2019,00:50:56,0,Fire,Secondary Fire,,Outdoor,Cycle path/public footpath/bridleway ,In street outside gazetteer location,E13 9NS,E13,10012835562,22207686,E09000025,NEWHAM,Newham,E05000490,PLAISTOW SOUTH,PLAISTOW SOUTH,541487,182994,541450,182950,51.52813858,0.03828143,London,Plaistow,315,Barking,,,1,1,1,1,333,1,01-01-2019 00:50
000152-01012019,01-Jan-19,2019,00:51:00,0,Fire,Secondary Fire,,Outdoor Structure,Common external bin storage area,On land associated with building,KT3 3BF,KT3,128042293,21800563,E09000021,KINGSTON UPON THAMES,Kingston Upon thames,E05000402,BEVERLEY,BEVERLEY,521140,168166,521150,168150,51.39960743,-0.259958943,London,New Malden,449,Richmond,573,Sutton,2,2,2,1,333,1,01-01-2019 00:51
000156-01012019,01-Jan-19,2019,00:52:36,0,Fire,Secondary Fire,,Outdoor Structure,Small refuse/rubbish container,In street outside gazetteer location,N18 1QY,N18,207048160,20704735,E09000010,ENFIELD,Enfield,E05000201,HASELBURY,HASELBURY,533548,192496,533550,192450,51.61546021,-0.072490137,London,Edmonton,297,Edmonton,,,1,1,1,1,333,2,01-01-2019 00:52
000159-01012019,01-Jan-19,2019,00:54:41,0,Fire,Secondary Fire,,Outdoor,Loose refuse ,On land associated with building,UB5 6TL,UB5,12045385,20600919,E09000009,EALING,Ealing,E05000177,GREENFORD BROADWAY,GREENFORD BROADWAY,513219,183256,513250,183250,51.53686574,-0.368948246,London,Southall,241,Southall,,,1,1,1,1,333,1,01-01-2019 00:54
000166-01012019,01-Jan-19,2019,00:57:59,0,Fire,Secondary Fire,,Outdoor Structure,Large refuse/rubbish container (eg skip/ paladin),In street outside gazetteer location,E13 8RL,E13,46041731,22207770,E09000025,NEWHAM,Newham,E05000490,PLAISTOW SOUTH,PLAISTOW SOUTH,541027,182600,541050,182650,51.5247135,0.031495869,London,Plaistow,599,Bethnal Green,,,1,1,1,1,333,2,01-01-2019 00:57
000168-01012019,01-Jan-19,2019,00:59:38,0,Fire,Secondary Fire,,Outdoor Structure,Fence,Correct incident location,N18 1LS,N18,207054412,20704038,E09000010,ENFIELD,Enfield,E05000201,HASELBURY,HASELBURY,533228,192999,533250,192950,51.6200551,-0.0769258,London,Edmonton,1019,Tottenham,,,1,1,1,1,333,3,01-01-2019 00:59
000170-01012019,01-Jan-19,2019,01:01:23,1,Fire,Secondary Fire,,Outdoor Structure,Common external bin storage area,On land associated with building,RM7 0DS,RM7,1.00021E+11,21301028,E09000016,HAVERING,Havering,E05000306,BROOKLANDS,BROOKLANDS,549235,187790,549250,187750,51.56924167,0.151927174,London,Dagenham,395,Dagenham,,,1,1,1,1,333,1,01-01-2019 01:01
000175-01012019,01-Jan-19,2019,01:04:04,1,Fire,Secondary Fire,,Outdoor Structure,Wheelie bin (domestic size),Nearby address - no building in street,TW5 9PP,TW5,2.00004E+11,21590176,E09000018,HOUNSLOW,Hounslow,E05000357,HESTON WEST,HESTON WEST,510847,177505,510850,177550,51.48564438,-0.40493933,London,Feltham,460,Feltham,,,1,1,1,1,333,1,01-01-2019 01:04
000179-01012019,01-Jan-19,2019,01:07:09,1,Fire,Secondary Fire,,Outdoor Structure,Common external bin storage area,On land associated with building,RM8 1TF,RM8,1.00022E+11,22301811,E09000026,REDBRIDGE,Redbridge,E05011244,GOODMAYES,GOODMAYES,547533,187533,547550,187550,51.56737821,0.127268552,London,Dagenham,431,Romford,,,2,2,1,1,333,1,01-01-2019 01:07
000182-01012019,01-Jan-19,2019,01:07:36,1,Fire,Secondary Fire,,Outdoor Structure,Large refuse/rubbish container (eg skip/ paladin),Correct incident location,SE2 9DL,SE2,10010236551,20801334,E09000011,GREENWICH,Greenwich,E05000214,ABBEY WOOD,ABBEY WOOD,546175,179461,546150,179450,51.49520685,0.104346545,London,Plumstead,366,Plumstead,,,1,1,1,1,333,1,01-01-2019 01:07
000195-01012019,01-Jan-19,2019,01:12:42,1,Fire,Secondary Fire,,Outdoor Structure,Small refuse/rubbish container,On land associated with building,UB1 1AX,UB1,12030002,20601089,E09000009,EALING,Ealing,E05000189,SOUTHALL BROADWAY,SOUTHALL BROADWAY,512139,180812,512150,180850,51.51511972,-0.385286299,London,Southall,474,Southall,,,1,1,1,1,333,2,01-01-2019 01:12
000200-01012019,01-Jan-19,2019,01:15:12,1,Fire,Primary Fire,,Dwelling,House - single occupancy ,Correct incident location,,UB4,0,21401794,E09000017,HILLINGDON,Hillingdon,E05000344,YEADING,YEADING,,,511750,181550,,,London,Southall,357,Southall,529,Northolt,2,2,2,2,666,2,01-01-2019 01:15
000201-01012019,01-Jan-19,2019,01:15:26,1,Fire,Secondary Fire,,Outdoor Structure,Small refuse/rubbish container,Open land/water - nearest gazetteer location,IG11 0FA,IG11,10023600467,19904091,E09000002,BARKING AND DAGENHAM,Barking And dagenham,E05000039,THAMES,THAMES,546216,182527,546250,182550,51.52274692,0.106214046,London,Barking,297,Barking,,,1,1,1,1,333,1,01-01-2019 01:15
000202-01012019,01-Jan-19,2019,01:15:34,1,Fire,Secondary Fire,,Outdoor Structure,Large refuse/rubbish container (eg skip/ paladin),On land associated with building,TW7 5XF,TW7,1.00023E+11,21500707,E09000018,HOUNSLOW,Hounslow,E05000364,SYON,SYON,516231,176656,516250,176650,51.4769403,-0.327708246,London,Heston,209,Heston,,,1,1,1,1,333,1,01-01-2019 01:15
000203-01012019,01-Jan-19,2019,01:16:37,1,Fire,Secondary Fire,,Outdoor,Cycle path/public footpath/bridleway ,On land associated with building,NW10 0AP,NW10,202191497,20202015,E09000005,BRENT,Brent,E05000103,WELSH HARP,WELSH HARP,520841,186238,520850,186250,51.56208818,-0.258076594,London,Willesden,334,Willesden,,,1,1,1,1,333,2,01-01-2019 01:16
000205-01012019,01-Jan-19,2019,01:18:11,1,Fire,Secondary Fire,,Outdoor Structure,Small refuse/rubbish container,Open land/water - nearest gazetteer location,E14 6NH,E14,6154557,22700271,E09000030,TOWER HAMLETS,Tower Hamlets,E05009325,LANSBURY,LANSBURY,537896,181467,537850,181450,51.51531102,-0.014045395,London,Poplar,343,Poplar,,,1,1,1,1,333,1,01-01-2019 01:18
000207-01012019,01-Jan-19,2019,01:18:59,1,Fire,Secondary Fire,,Outdoor Structure,Large refuse/rubbish container (eg skip/ paladin),In street outside gazetteer location,E17 8LN,E17,1.00023E+11,22838850,E09000031,WALTHAM FOREST,Waltham Forest,E05000601,HOE STREET,HOE STREET,537432,188351,537450,188350,51.57727916,-0.018045651,London,Walthamstow,405,Walthamstow,,,1,1,1,1,333,1,01-01-2019 01:18
000212-01012019,01-Jan-19,2019,01:21:38,1,Fire,Secondary Fire,,Outdoor Structure,Large refuse/rubbish container (eg skip/ paladin),In street outside gazetteer location,E16 1NE,E16,46009451,22200430,E09000025,NEWHAM,Newham,E05000478,CANNING TOWN SOUTH,CANNING TOWN SOUTH,540248,181096,540250,181050,51.51139873,0.019677818,London,Plaistow,408,Plaistow,,,1,1,1,1,333,1,01-01-2019 01:21
000215-01012019,01-Jan-19,2019,01:22:54,1,Fire,Secondary Fire,,Outdoor,Loose refuse ,In street close to gazetteer location,CR4 2AY,CR4,48067184,22106055,E09000024,MERTON,Merton,E05000460,FIGGE'S MARSH,FIGGE'S MARSH,528210,169797,528250,169750,51.41270658,-0.157788917,London,Mitcham,434,Mitcham,,,1,1,1,1,333,3,01-01-2019 01:22
000221-01012019,01-Jan-19,2019,01:26:29,1,Fire,Primary Fire,,Outdoor Structure,Other outdoor equipment/machinery ,On land associated with building,E4 6XU,E4,2.00001E+11,22863050,E09000031,WALTHAM FOREST,Waltham Forest,E05000594,ENDLEBURY,ENDLEBURY,537775,193685,537750,193650,51.62513115,-0.011015822,London,Chingford,432,Chingford,452,Woodford,2,2,2,2,666,1,01-01-2019 01:26
000227-01012019,01-Jan-19,2019,01:30:15,1,Fire,Secondary Fire,,Outdoor Structure,Small refuse/rubbish container,Correct incident location,E16 4RB,E16,10008990493,22201604,E09000025,NEWHAM,Newham,E05000477,CANNING TOWN NORTH,CANNING TOWN NORTH,539312,182077,539350,182050,51.52044376,0.00658985,London,Plaistow,461,East Ham,,,1,1,1,1,333,1,01-01-2019 01:30
000233-01012019,01-Jan-19,2019,01:35:34,1,Fire,Primary Fire,,Road Vehicle,Car ,On land associated with building,IG1 3JN,IG1,1.00022E+11,22302723,E09000026,REDBRIDGE,Redbridge,E05011241,CRANBROOK,CRANBROOK,543043,187579,543050,187550,51.56894855,0.062558435,London,Ilford,361,Leytonstone,,,1,1,1,1,333,1,01-01-2019 01:35
000240-01012019,01-Jan-19,2019,01:38:01,1,Fire,Secondary Fire,,Outdoor Structure,Large refuse/rubbish container (eg skip/ paladin),In street outside gazetteer location,E16 2TJ,E16,10093132383,22208323,E09000025,NEWHAM,Newham,E05000491,ROYAL DOCKS,ROYAL DOCKS,541058,179790,541050,179750,51.49946382,0.030810692,London,Plaistow,225,Plaistow,,,1,1,1,1,333,1,01-01-2019 01:38
000252-01012019,01-Jan-19,2019,01:50:14,1,Fire,Secondary Fire,,Outdoor Structure,Small refuse/rubbish container,In street outside gazetteer location,E15 2TF,E15,46255384,22201445,E09000025,NEWHAM,Newham,E05000492,STRATFORD AND NEW TOWN,STRATFORD AND NEW TOWN,538642,183971,538650,183950,51.53763024,-0.002322563,London,Stratford,366,Leytonstone,,,1,1,1,1,333,1,01-01-2019 01:50
000257-01012019,01-Jan-19,2019,01:52:37,1,Fire,Primary Fire,,Dwelling,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Within same building,,SE1,0,22502529,E09000028,SOUTHWARK,Southwark,E05011104,LONDON BRIDGE & WEST BERMONDSEY,LONDON BRIDGE & WEST BERMONDSEY,,,533150,179150,,,London,Old Kent Road,125,Dockhead,261,Dockhead,7,7,7,3,999,2,01-01-2019 01:52
000262-01012019,01-Jan-19,2019,02:01:02,2,Fire,Secondary Fire,,Outdoor Structure,Fence,On land associated with building,BR1 5JW,BR1,1.00022E+11,22003617,E09000023,LEWISHAM,Lewisham,E05000454,WHITEFOOT,WHITEFOOT,540137,172529,540150,172550,51.43444323,0.014678807,London,Bromley,448,Lee Green,,,1,1,1,1,333,1,01-01-2019 02:01
000263-01012019,01-Jan-19,2019,02:01:39,2,Fire,Secondary Fire,,Outdoor,Loose refuse ,On land associated with building,DA17 5BX,DA17,1.00024E+11,20100344,E09000004,BEXLEY,Bexley,E05011218,BELVEDERE,BELVEDERE,549119,178864,549150,178850,51.48907339,0.146467672,London,Erith,450,Erith,,,1,1,1,1,333,1,01-01-2019 02:01
000265-01012019,01-Jan-19,2019,02:04:52,2,Fire,Secondary Fire,,Outdoor Structure,Common external bin storage area,On land associated with building,E4 9AE,E4,10024420126,22847360,E09000031,WALTHAM FOREST,Waltham Forest,E05000597,HALE END AND HIGHAMS PARK,HALE END AND HIGHAMS PARK,538270,191729,538250,191750,51.60742977,-0.004638263,London,Chingford,384,Woodford,544,Walthamstow,2,2,2,1,333,3,01-01-2019 02:04
000269-01012019,01-Jan-19,2019,02:08:32,2,Fire,Primary Fire,,Road Vehicle,Motorcycle ,On land associated with building,N16 6EJ,N16,10025291426,20901655,E09000012,HACKNEY,Hackney,E05009368,CAZENOVE,CAZENOVE,533913,187442,533950,187450,51.56996192,-0.069148519,London,Stoke Newington,,,,,1,1,1,1,333,3,01-01-2019 02:08
000270-01012019,01-Jan-19,2019,02:09:05,2,Fire,Secondary Fire,,Outdoor Structure,Fence,On land associated with building,RM12 5SH,RM12,1.00021E+11,21300487,E09000016,HAVERING,Havering,E05000308,ELM PARK,ELM PARK,553221,185124,553250,185150,51.54422563,0.208223632,London,Hornchurch,407,Hornchurch,,,1,1,1,1,333,2,01-01-2019 02:09
000283-01012019,01-Jan-19,2019,02:30:25,2,Fire,Secondary Fire,,Outdoor,Road surface/pavement ,On land associated with building,IG6 1NN,IG6,1.00022E+11,22302768,E09000026,REDBRIDGE,Redbridge,E05011234,ALDBOROUGH,ALDBOROUGH,544626,189169,544650,189150,51.58283394,0.086028419,London,Ilford,300,Ilford,,,1,1,1,1,333,1,01-01-2019 02:30
000289-01012019,01-Jan-19,2019,02:42:52,2,Fire,Secondary Fire,,Outdoor Structure,Wheelie bin (domestic size),Correct incident location,E13 8AN,E13,46045643,22200809,E09000025,NEWHAM,Newham,E05000477,CANNING TOWN NORTH,CANNING TOWN NORTH,540524,182603,540550,182650,51.52487075,0.024252372,London,Plaistow,401,East Ham,,,1,1,1,1,333,4,01-01-2019 02:42
000309-01012019,01-Jan-19,2019,03:39:58,3,Fire,Primary Fire,,Road Vehicle,Car ,In street outside gazetteer location,E1 4QP,E1,6089337,22702215,E09000030,TOWER HAMLETS,Tower Hamlets,E05009329,ST. DUNSTAN'S,ST. DUNSTAN'S,536103,181884,536150,181850,51.51949028,-0.039712117,London,Bethnal Green,302,Bethnal Green,,,1,1,1,1,333,7,01-01-2019 03:39
000331-01012019,01-Jan-19,2019,05:01:51,5,Fire,Primary Fire,,Non Residential,Private Garden Shed ,On land associated with building,,TW4,0,22402004,E09000027,RICHMOND UPON THAMES,Richmond Upon thames,E05000523,HEATHFIELD,HEATHFIELD,,,513050,174250,,,London,Twickenham,455,Feltham,634,Heston,2,2,2,3,999,4,01-01-2019 05:01
000339-01012019,01-Jan-19,2019,05:31:16,5,Fire,Secondary Fire,,Outdoor Structure,Small refuse/rubbish container,On land associated with building,N1 6JJ,N1,10008235113,20950201,E09000012,HACKNEY,Hackney,E05009378,HOXTON WEST,HOXTON WEST,533034,183163,533050,183150,51.53171852,-0.083443913,London,Shoreditch,260,Shoreditch,352,Islington,2,2,2,1,333,2,01-01-2019 05:31
000342-01012019,01-Jan-19,2019,05:37:36,5,Fire,Secondary Fire,,Outdoor Structure,Small refuse/rubbish container,In street outside gazetteer location,HA8 0LT,HA8,200122774,20044805,E09000003,BARNET,Barnet,E05000044,BURNT OAK,BURNT OAK,520207,190605,520250,190650,51.60146989,-0.265725428,London,Mill Hill,372,Mill Hill,,,1,1,1,1,333,2,01-01-2019 05:37
000347-01012019,01-Jan-19,2019,06:07:58,6,Fire,Secondary Fire,,Outdoor Structure,Large refuse/rubbish container (eg skip/ paladin),On land associated with building,EN3 5XB,EN3,207152271,20702215,E09000010,ENFIELD,Enfield,E05000198,ENFIELD HIGHWAY,ENFIELD HIGHWAY,535567,198227,535550,198250,51.66648185,-0.04113108,London,Enfield,331,Enfield,,,1,1,1,1,333,1,01-01-2019 06:07
000349-01012019,01-Jan-19,2019,06:12:39,6,Fire,Primary Fire,,Road Vehicle,Car ,In street outside gazetteer location,DA8 2DF,DA8,10023304234,20100198,E09000004,BEXLEY,Bexley,E05011231,SLADE GREEN & NORTHEND,SLADE GREEN & NORTHEND,551964,176695,551950,176650,51.46883012,0.186486935,London,Erith,351,Erith,,,1,1,1,1,333,10,01-01-2019 06:12
000350-01012019,01-Jan-19,2019,06:12:59,6,Fire,Primary Fire,,Road Vehicle,Minibus ,In street outside gazetteer location,TW13 5JW,TW13,10014074581,21500632,E09000018,HOUNSLOW,Hounslow,E05000353,HANWORTH,HANWORTH,512228,172811,512250,172850,51.443186,-0.386552821,London,Feltham,113,Twickenham,,,1,1,1,1,333,2,01-01-2019 06:12
000362-01012019,01-Jan-19,2019,06:26:42,6,Fire,Secondary Fire,,Outdoor Structure,Common external bin storage area,On land associated with building,N1 6JJ,N1,10008234707,20950201,E09000012,HACKNEY,Hackney,E05009378,HOXTON WEST,HOXTON WEST,532999,183134,532950,183150,51.53146772,-0.083956934,London,Shoreditch,238,Shoreditch,366,Islington,2,2,2,1,333,1,01-01-2019 06:26
000365-01012019,01-Jan-19,2019,06:38:29,6,Fire,Secondary Fire,,Outdoor Structure,Small refuse/rubbish container,In street outside gazetteer location,W1C 1JY,W1C,1.00023E+11,8400476,E09000033,WESTMINSTER,Westminster,E05000641,MARYLEBONE HIGH STREET,MARYLEBONE HIGH STREET,528421,181155,528450,181150,51.5147392,-0.150644934,London,Soho,377,Euston,,,1,1,1,1,333,3,01-01-2019 06:38
000382-01012019,01-Jan-19,2019,07:54:10,7,Fire,Primary Fire,,Non Residential,Private Garden Shed ,On land associated with building,,SM1,0,22600570,E09000029,SUTTON,Sutton,E05000568,THE WRYTHE,THE WRYTHE,,,526750,165250,,,London,Sutton,893,Sutton,,,1,1,1,1,333,1,01-01-2019 07:54
000394-01012019,01-Jan-19,2019,09:16:22,9,Fire,Secondary Fire,,Outdoor,Tree scrub ,In street close to gazetteer location,N4 2DE,N4,10003981285,21106375,E09000014,HARINGEY,Haringey,E05000271,HARRINGAY,HARRINGAY,531462,187539,531450,187550,51.57141208,-0.104455706,London,Holloway,230,Holloway,,,1,1,1,1,333,1,01-01-2019 09:16
000397-01012019,01-Jan-19,2019,09:43:36,9,Fire,Secondary Fire,,Outdoor Structure,Small refuse/rubbish container,In street outside gazetteer location,SW9 9HZ,SW9,1.00022E+11,21901309,E09000022,LAMBETH,Lambeth,E05000425,LARKHALL,LARKHALL,530636,176000,530650,176050,51.4679062,-0.120639255,London,Brixton,149,Brixton,,,1,1,1,1,333,2,01-01-2019 09:43
000410-01012019,01-Jan-19,2019,10:30:34,10,Fire,Primary Fire,,Dwelling,House - single occupancy ,Correct incident location,,E6,0,22200451,E09000025,NEWHAM,Newham,E05000480,EAST HAM CENTRAL,EAST HAM CENTRAL,,,542250,183250,,,London,East Ham,293,Plaistow,327,Stratford,3,3,4,10,3330,2,01-01-2019 10:30
000413-01012019,01-Jan-19,2019,10:50:27,10,Fire,Secondary Fire,,Outdoor,Loose refuse ,In street close to gazetteer location,N4 1SY,N4,1.00021E+11,20901093,E09000012,HACKNEY,Hackney,E05009387,WOODBERRY DOWN,WOODBERRY DOWN,532354,187777,532350,187750,51.573341,-0.091500616,London,Stoke Newington,357,Stoke Newington,,,1,1,1,1,333,1,01-01-2019 10:50
000435-01012019,01-Jan-19,2019,12:45:31,12,Fire,Primary Fire,,Other Residential,Retirement/Old Persons Home,Correct incident location,E2 0BP,E2,6131950,22701352,E09000030,TOWER HAMLETS,Tower Hamlets,E05009331,ST. PETER'S,ST. PETER'S,534757,182421,534750,182450,51.524635,-0.058905,London,Bethnal Green,174,Bethnal Green,332,Shadwell,2,2,2,1,333,1,01-01-2019 12:45
000440-01012019,01-Jan-19,2019,13:17:46,13,Fire,Secondary Fire,,Outdoor Structure,Small refuse/rubbish container,Correct incident location,N18 1RA,N18,207110676,20703989,E09000010,ENFIELD,Enfield,E05000212,UPPER EDMONTON,UPPER EDMONTON,533213,191807,533250,191850,51.6093469,-0.0775949,London,Edmonton,358,Tottenham,,,1,1,1,1,333,1,01-01-2019 13:17
